Organization Name,Organization Name URL,Website,Industries,Industry Groups,Description,Full Description,LinkedIn,Hub Tags,Twitter,Facebook,CB Rank (Organization)
DocuSign,https://www.crunchbase.com/organization/docusign,http://www.docusign.com,"Cloud Management, Computer, E-Signature, Information Technology, SaaS, Software","Consumer Electronics, Hardware, Information Technology, Internet Services, Privacy and Security, Software","DocuSign helps small- and medium-sized businesses collect information, automate data workflows, and sign on various devices.","DocuSign operates a cloud-based electronic signature platform that helps small- and medium-sized businesses, enterprises, and individuals collect information, automate data workflows, and sign on various devices. The company’s platform automates manual and paper-based processes that allow users to manage various aspects of documented business transactions, including identity management, authentication, digital signature, forms and data collection, collaboration, and workflow automation and storage. The company also provides training and support services. Its platform serves the sales, human resources, finance, information technology, operations, legal, marketing, facilities, support, product management, and procurement departments in the financial services, healthcare, technology, higher education, insurance, real estate, life sciences, and government sectors in the United States and internationally. DocuSign was incorporated in 2003 and is based in San Francisco, California with additional offices in London, Sydney, Sao Paulo, and Dublin.",http://www.linkedin.com/company/docusign,"Exited Unicorn, Pledge 1%",http://twitter.com/DocuSign,http://www.facebook.com/DocuSign,210
HelloSign,https://www.crunchbase.com/organization/hellosign,http://www.hellosign.com,"B2B, Developer APIs, Developer Platform, Document Management, E-Signature, Enterprise Applications, Enterprise Software, Legal, Mobile, SaaS, Software","Apps, Information Technology, Mobile, Other, Privacy and Security, Professional Services, Software","HelloSign offers fast, secure, and legally binding eSignatures for businesses.","We believe that the way business gets done today is broken. That’s why we’re dedicated to simplifying work for everyone - from small startups to large enterprise companies. Millions of individuals and over 60,000 companies world-wide trust the HelloSign platform – which includes eSignature, digital workflow and eFax solutions – to automate and manage their most important business transactions. With a sharp focus on user experience and a lust for innovation, HelloSign is on a mission to Simplify Work.",https://www.linkedin.com/company-beta/953240/,,http://twitter.com/HelloSign,http://www.facebook.com/hellosignapp,"5,161"
PactSafe,https://www.crunchbase.com/organization/pactsafe,https://www.pactsafe.com,"Developer APIs, Developer Tools, E-Signature, Legal, Software","Information Technology, Privacy and Security, Professional Services, Software","PactSafe is a clickwrap transaction platform that enables the creation, management, acceptance/signature, and archiving of legal agreements","PactSafe is a contract acceptance platform that prepares and finds contracts and gets acceptance for high-velocity businesses. Customers like DoorDash, Wayfair, Formstack, BMC, and Angie's List trust PactSafe to automate and optimize their signing workflows.",https://www.linkedin.com/company/3238224,,https://twitter.com/pactsafe,https://www.facebook.com/Pactsafe,"12,454"
GetAccept,https://www.crunchbase.com/organization/getaccept,https://www.getaccept.com,"Direct Sales, Document Management, E-Signature, Enterprise Software, SaaS, Sales, Sales Automation","Information Technology, Privacy and Security, Sales and Marketing, Software",GetAccept is an all-in-one sales enablement solution that assists B2B sales reps in closing remote deals.,"Founded and developed by salespeople, GetAccept helps sales reps accelerate the sales process from the first conversation to a sealed contract. It provides the best all-in-one sales platform where video, live chat, sales content, proposal design, document tracking, and e-signatures come together to simplify the life of every sales team. With GetAccept, sales reps forge relationships and build trust with the buyer in a remote and digital-first world.",https://www.linkedin.com/company/getaccept,,https://twitter.com/getaccept,https://www.facebook.com/GetAccept,"15,710"
Signix,https://www.crunchbase.com/organization/signix,http://signix.com,"E-Signature, SaaS, Software","Information Technology, Privacy and Security, Software","SIGNIX offers an online service that enables the online signing of forms, contracts, or business documents with digital signatures.","SIGNiX, Inc. provides electronic signature solutions. It offers Digital Signature Software that enables individuals to sign documents online; and SIGNIX MyDoX, an online signature service that enables the online signing of forms, contracts, or business documents with the digital signatures. The company also provides E Signature Software products for electronic signatures; and ESignatures for businesses. It serves financial services, banking, insurance, health care, government, real estate, and education industries; and broker/dealers and corporations. The company was incorporated in 2002 and is based in Chattanooga, Tennessee. Signix, Inc. operates as a subsidiary of ProNvest, Inc.",http://www.linkedin.com/company/248078,,http://twitter.com/signixsolutions,http://www.facebook.com/SIGNiXDigitalSignatures,"21,337"
Paperless Transaction Management,https://www.crunchbase.com/organization/paperless-transaction-management,https://www.paperlesstrans.com,"E-Signature, Enterprise Software, Financial Services, Service Industry","Financial Services, Information Technology, Other, Privacy and Security, Software","Paperless Transaction Management, Inc., through its subsidiaries, offers electronic signature services.","Paperless Transaction Management, Inc., through its subsidiaries, offers electronic signature services. The company was incorporated in 2009 and is based in Baltimore, Maryland.",,,,,"28,339"
Verdocs,https://www.crunchbase.com/organization/realster,http://www.verdocs.com,"Document Management, Document Preparation, E-Signature, Information Technology, Internet, Real Estate, SaaS, Software","Administrative Services, Information Technology, Internet Services, Privacy and Security, Real Estate, Software","SaaS, Cloud, eSignature, Digital Documents","Verdocs is an investor backed, early stage technology startup that offers a unique and highly scalable platform for digital document management and eSignature solution. Verdocs enables companies to use digital documents to accelerate their internal processes and transactions with clients and customers.",https://www.linkedin.com/company/verdocs,,http://www.twitter.com/verdocs,http://www.facebook.com/verdocs,"32,418"
DocHub,https://www.crunchbase.com/organization/dochub,http://dochub.com,"Document Management, E-Signature, Information Technology, Internet, SaaS, Software","Information Technology, Internet Services, Privacy and Security, Software","DocHub is a free online PDF editor that lets you view, edit and sign PDFs on browser.","DocHub is a free online PDF editor that lets you view, edit, and sign PDFs on the browser. It specializes in the fields of information technology, internet, and software. The company was founded in 2014 and headquartered in Mckinney, Texas.",,,https://www.twitter.com/dochubapp,,"42,031"
Smart Eye Technolog,https://www.crunchbase.com/organization/smart-eye-technology,http://www.smarteyetechnology.com,"Computer, Cyber Security, Document Management, E-Signature, Enterprise Applications, Information Technology, Mobile Apps, Software, Web Apps","Apps, Consumer Electronics, Hardware, Information Technology, Mobile, Privacy and Security, Software",Smart Eye Technology is a document privacy company that uses biometrics to open documents.,"Smart Eye Technology is a document privacy company that uses biometrics such as your iris, face, voice, and fingerprint to open documents!  When an unauthorized person looks at the document inside the Smart Eye app while you are viewing the document, Smart Eye shuts the document down immediately because it detected an unauthorized viewer looking at your document!",https://www.linkedin.com/company/48929312/admin/,,https://twitter.com/GetSmartEye,https://www.facebook.com/GetSmartEye/,"47,520"
SignOnTheGo,https://www.crunchbase.com/organization/signonthego,https://signonthego.us/,"E-Commerce, E-Signature, Information Technology, Internet, Software","Commerce and Shopping, Information Technology, Internet Services, Privacy and Security, Software","SignOnTheGo, blockchain-based e-signature platform designed users to edit, sign, and send official e-documents.","SignOnTheGo is a blockchain-based e-signature platform that allows users to edit, sign digitally, and send official e-documents to all prospective business partners. SignOnTheGo was created to fulfill a series of needs for businesses of all sizes.  Our solution provides unlimited access to all features to users at every plan level.  Our unique platform allows users to negotiate the contents of their document and store these changes as part of the historical record.  Users can irrefutably authenticate their document using our blockchain integration, from anywhere in the world.",https://www.linkedin.com/company/signonthego/,,https://twitter.com/SignOnTheGo,https://www.facebook.com/SignOnTheGo/,"53,799"
Crayonic,https://www.crunchbase.com/organization/crayonic,http://www.crayonic.com,"Biometrics, Blockchain, Cyber Security, E-Signature, Hardware","Biotechnology, Data and Analytics, Hardware, Information Technology, Other, Privacy and Security, Science and Engineering","Passwordless security for authentication, digital assets and eSignatures.","Crayonic enables next-generation security for user authentication, digital asset storage, and electronic signatures. KeyVault, Crayonic’s keychain-sized hardware device, uses a combination of behavioral biometrics, machine learning, and cryptography to achieve unrivaled usability and security, also incorporating their unique proof-of-free-will feature.",https://www.linkedin.com/company/crayonic/about/,,https://twitter.com/Crayonic_com,,"54,004"
SignEasy,https://www.crunchbase.com/organization/signeasy,http://signeasy.com,"E-Signature, Productivity Tools, SaaS, Small and Medium Businesses, Software","Information Technology, Other, Privacy and Security, Software","SignEasy is a SaaS-based mobile solution to electronically sign and fill documents from smartphones, tablets, and web.","SignEasy is a SaaS-based mobile solution to electronically sign and fill documents from smartphones, tablets, and web. It is trusted by over 4 million users. People across industries such as real estate, legal, accounting, sales, insurance, human resources, logistics, and healthcare from over 150 countries use SignEasy to reduce business turnaround times, close deals faster, cut costs, and delight customers by eliminating the cycle of printing, scanning and faxing of paperwork. SignEasy is featured among the Best Business Apps on App Store (2014, 2015). It is the only eSignature app featured in Apple’s global TV commercials and featured by Google across 100+ countries on Play Store. It is pre-installed by Apple on the demo devices in its retail stores across 75+ countries.",https://www.linkedin.com/company/signeasy/,,http://twitter.com/getsigneasy,http://www.facebook.com/signeasy,"75,492"
InsureSign,https://www.crunchbase.com/organization/insuresign,https://insuresign.com/,"E-Signature, Internet, Software","Information Technology, Internet Services, Privacy and Security, Software",InsureSign is the only e-signature tool designed to meet the specific needs of insurance agents,InsureSign is the only e-signature tool designed to meet the specific needs of insurance agents.,https://www.linkedin.com/company/3640265,,https://www.twitter.com/insuresign,https://www.facebook.com/insuresign,"78,042"
"Pathway Technologies, Inc.",https://www.crunchbase.com/organization/zenergyst,https://www.pathwaytech.com/,"E-Signature, Real Estate, SaaS","Information Technology, Privacy and Security, Real Estate, Software","SaaS, Mobile App","The complete toolkit for real estate professionals. We simplify real estate for brokers, agents, and consumers.",,,,,"78,154"
1Kosmos - BlockID,https://www.crunchbase.com/organization/1kosmos-blockid,https://www.1kosmos.com,"Biometrics, Blockchain, Consumer Software, Cyber Security, E-Signature, Enterprise Software, Ethereum, Facial Recognition, Identity Management, Information Technology, Network Security, Security, Software, Software Engineering, Speech Recognition","Biotechnology, Data and Analytics, Information Technology, Other, Privacy and Security, Science and Engineering, Software",BlockID by OneKosmos enables authentication of decentralized verified digital identities on the blockchain using biometrics.," BlockID by 1Kosmos revolutionizes identity management, enabling people and companies to escape from the legacy systems of paper-based documents and move into a true digital identity with unprecedented privacy, security, transparency and individual rights by leveraging the power of blockchain technology. ",https://www.linkedin.com/company/1kosmos,,https://twitter.com/1KosmosBlockID,https://www.facebook.com/onekosmos,"94,439"
FatSkunk,https://www.crunchbase.com/organization/fatskunk,http://www.fatskunk.com,"Digital Media, E-Signature, Software","Information Technology, Media and Entertainment, Privacy and Security, Software",FatSkunk offers products and software to scan for infections and detect malware in a range of digital devices.,"The FatSkunk product employs a novel approach that uses principles of physics to detect malware, not heuristics or signatures. Their product can take just milliseconds to dynamically scan devices for infection – whether these devices are e-readers, phones, game consoles, tablets, settop boxes, voting machines, cash registers, vehicular infotainment systems, nuclear warheads… you name it, they can check if is is infected or not. They currently have a beta product demonstrable on Android, but their product is operating system agnostic.",,,,,"134,753"
Settleware,https://www.crunchbase.com/organization/settleware,http://settleware.com,"E-Signature, Finance, Real Estate, SaaS, Software","Financial Services, Information Technology, Privacy and Security, Real Estate, Software",Settleware is a provider of e-signing solutions for the real estate and mortgage industry.,"Settleware Secure Services, Inc. provides e-Signing solutions for the real estate/mortgage industry. The company’s e-Sign platform allows users to process transactions in a paperless and electronic environment, as well as view and sign the agreements through their desktops, laptops, or smart phones.  It also offers support services. Settleware offers its solutions on a software-as-a-service subscription basis or as enterprise editions for large institutions. The company was founded in 1999 and is based in Laguna Beach, California.",,,http://twitter.com/Settleware,http://www.facebook.com/Settleware,"141,852"
eSign Genie,https://www.crunchbase.com/organization/esign-genie,https://www.esigngenie.com,"E-Signature, Legal, Software","Information Technology, Privacy and Security, Professional Services, Software","ESign Genie provides an easy to use, fast, secured, and legally binding electronic, and digital signature solution.","ESign Genie provides an easy to use, fast, secured, and legally binding electronic, and digital signature solution. ESign Genie supports all modes of e-signatures available:  - Reusable templates to save time and create documents in a few seconds for esigning  - Ability to send one or more documents together for esignature(s)  - In-person signing  - Bulk sending for esignatures, i.e. permission slips  - URL based esignatures  - Online/Embedded form for non-techies to integrate esignatures into your website.  - Using eSign Genie REST APIs to integrate with your website or application  - Integration with Google Drive and Dropbox - Use integration with Salesforce, Payment Collection and invoicing.",https://www.linkedin.com/company/esigngenie/,,https://twitter.com/eSignGenie,https://www.facebook.com/eSignGenie,"146,333"
DocVerify,https://www.crunchbase.com/organization/docverify,http://www.docverify.com,"CRM, Cyber Security, Digital Signage, Document Management, E-Signature, PaaS, SaaS, Security, Software","Information Technology, Privacy and Security, Sales and Marketing, Software","Electronic Signature Platform, Electronic Notary Platform, Remote Notary Platform, and Document Verification","DocVerify is the trusted leader and innovator in electronic signatures, electronic notary, remote and online notary, and digital document verification – developing extensible solutions that manage secure e-signatures, prevent transaction fraud and protect intellectual property. DocVerify’s digital document verification solutions, built upon the proprietary VeriVault Verification Platform, provide irrefutable proof of the integrity of digital documents – streamlining processes, saving money, protecting sensitive information and ensuring legally binding transactions.",http://www.linkedin.com/company/docverify,,http://twitter.com/docverify,http://www.facebook.com/DocVerify,"152,500"
"Integrated Media Management,",https://www.crunchbase.com/organization/integrated-media-management,https://www.immonline.com/,"Banking, Computer, Computer Vision, E-Signature, Financial Services, Lending, Software","Consumer Electronics, Financial Services, Hardware, Information Technology, Lending and Investments, Privacy and Security, Software","Integrated Media Management, LLC is a Computer Software company.","IMM is the leading source of eSignature and eTransaction management solutions exclusively for Banks and Credit Unions.  With a 23 year history of successfully providing eSignature solutions to over 1000 financial institutions, we can help you enhance the consumer experience, streamline process efficiencies, and reduce operating costs.  The digital dream is now a reality with IMMeSign.",https://www.linkedin.com/company/immesign/about/,,https://twitter.com/IMMeSign,https://www.facebook.com/pg/IMMeSign/about/?ref=page_internal,"175,994"
DocSpring,https://www.crunchbase.com/organization/formapi,https://docspring.com,"B2B, Developer APIs, Developer Tools, Document Preparation, E-Signature, Enterprise Software, Software","Administrative Services, Information Technology, Other, Privacy and Security, Software",PDF-filling API Service for Developers,"DocSpring makes it easy for programmers to fill out, sign, and generate PDFs.",https://www.linkedin.com/company/docspring,,https://twitter.com/getdocspring,,"178,286"
Smartwaiver,https://www.crunchbase.com/organization/smartwaiver,https://www.smartwaiver.com,"E-Signature, Online Portals, Sensor","Hardware, Information Technology, Internet Services, Privacy and Security",Smartwaiver is an online waiver solution that converts release of liability waivers into interactive digital documents.,"Smartwaiver is an online waiver solution for business. Smartwaiver converts  release of liability waivers into interactive, digital documents that can be signed online from any device. Once signed, the document and customer data are stored in a secure, online, searchable database.",http://www.linkedin.com/company/smartwaiver,,http://twitter.com/Smartwaiver,http://www.facebook.com/SmartWaiver,"178,469"
DANAConnect,https://www.crunchbase.com/organization/danaconnect,http://www.danaconnect.com,"CRM, Digital Signage, Document Management, E-Signature, Email Marketing, Information Technology, Marketing Automation, Messaging, Software, Unified Communications","Information Technology, Internet Services, Messaging and Telecommunications, Privacy and Security, Sales and Marketing, Software",DANAConnect is the ideal communication automation platform for the financial ecosystem.,"DANAConnect is the ideal communication automation platform for the financial ecosystem.  In addition to smart flows and cutting-edge cross-channel technology,  DANAConnect adds features specifically designed for the financial industry to ensure security, governance, compliance, and auditing.  DANAConnect combines emails, SMS, calls, push notifications, web forms, landing pages, and dynamic documents to automate the customer’s life cycle, emphasizing security at all times.",http://www.linkedin.com/company/dana-connect,,http://twitter.com/danaconnect,http://www.facebook.com/danaconnect,"208,951"
Proposable,https://www.crunchbase.com/organization/proposable,http://proposable.com,"Cloud Computing, E-Signature, Enterprise Software, Online Portals","Information Technology, Internet Services, Privacy and Security, Software",Proposable is an online tool for managing sales proposals and simplifies the process with a mixture of customization and standardization.,Proposable is an online tool for creating and managing sales proposals. It simplifies the process with a mixture of customization and standardization. It launched in 2010 out of an incubator called SproutBox.,,,http://twitter.com/Proposable,https://www.facebook.com/proposable,"222,739"
Gimmio,https://www.crunchbase.com/organization/gimmio,https://gimm.io/en_US/email-signature-generator,"E-Signature, Email Marketing","Information Technology, Privacy and Security, Sales and Marketing",Gimmio is a free email signature generator which allows you to create some of the most advanced email signatures on the planet.,"Gimmio is a free email signature generator which allows you to create some of the most advanced email signatures on the planet. The product has extensive customization options to create the exact signature that you want. Because of its flexibility, many web design agencies use Gimmio to create their customers' email signatures.",,,https://twitter.com/gimmioapp,https://www.facebook.com/gimmioapp/,"228,888"
AlphaTrust,https://www.crunchbase.com/organization/alphatrust,http://www.alphatrust.com,"E-Signature, Internet, Software","Information Technology, Internet Services, Privacy and Security, Software",AlphaTrust is a software publisher creating business documents that are the legal and functional equivalent to ink-signed paper documents.,"AlphaTrust is a privately held software publisher headquartered in Dallas, Texas. AlphaTrust's solutions create secure, permanent business documents that are the legal and functional equivalent of ink-signed paper documents. AlphaTrust is an expert and global leader in electronic signature process automation solutions. We are trusted by some of the largest enterprise and technology service provider companies worldwide. Our solutions easily integrate with existing applications and business processes enabling high volume, document process automation to reduce costs and dramatically improve the overall customer experience while adhering to strict regulatory and compliance requirements. Through continuous innovation since 1998, we are delivering the most cost effective and advanced embedded and cloud-enabled eSignature solutions on the market.",https://www.linkedin.com/company/alphatrust,,http://twitter.com/AlphaTrust,https://www.facebook.com/alphatrustcorp,"244,052"
ContractHub.Com,https://www.crunchbase.com/organization/contracthub-com,http://contracthub.com/,"Document Management, E-Signature","Information Technology, Privacy and Security, Software",ContractHub is a legal operations platform that streamlines the process of managing documents.,"ContractHub is a legal operations platform that streamlines the process of generating, sending, signing, approving, and storing your documents.",https://www.linkedin.com/company/contracthub-com/,,,,"289,227"
ShareCredentials,https://www.crunchbase.com/organization/sharecredentials,https://www.sharecredentials.com/,"Blockchain, Computer Vision, Document Management, E-Signature, Printing, SaaS, Software","Content and Publishing, Hardware, Information Technology, Media and Entertainment, Other, Privacy and Security, Software","Save, Share and Sign your credentials and documents.","ShareCredentials provides a cloud-based infrastructure that houses the Document Exchange Network.    The solution is delivered through web browsers and mobile devices.  It is a platform that would fundamentally transform, how citizens and businesses interact. We plan to remove the repeated filing of the same information, by introducing “Self-Filling Form”. We also provide tools to save the critical document that are used repeatedly. Credential Sharing is made easy, where, an organization can request all the documents they need is one seamless workflow.  Enterprise Case management /CRM or ERP systems can be integrated easily providing a custom branded solution. ShareCredentials provides Electronic signing that will make signing a lot easier.  All leading to enhanced trust, and reputation of parties involved in Business.",https://www.linkedin.com/company/5103662,,https://twitter.com/@sharecredential,https://www.facebook.com/ShareCredentialscom-404015516385228,"306,236"
SignaShare,https://www.crunchbase.com/organization/signashare,https://www.signashare.com,"Apps, Document Management, E-Signature, Enterprise Software, Information Technology, Internet, Software","Apps, Information Technology, Internet Services, Privacy and Security, Software","Gather data, fill forms, e-sign, send and manage documents with ease. Aggregate data to send automatically to other systems.","SignaShare provides a tool to help your organization create forms, fill forms, eSign, send and manage documents with ease.  SignaShare is ESIGN Act compliant, HIPAA compliant and uses SSL data encryption to secure all data.  Our user-friendly interface is designed to streamline your business workflow, simplify communication and give you back more time.  SignaShare provides Electronic Signatures and Form Filling within one easy to use application and at a reasonable price.  We allow the user to integrate, customize, or adapt the system to their data and integration requirements.  SignaShare allows your organization to create your own fillable documents, add custom merge tags, fill and sign documents through the API and create document bundles. We offer a “Sign Now” feature, create multi-signer and multi-document signature templates and track the complete processes through the entire life-cycle of the transaction.",https://www.linkedin.com/company/28399299,,,https://www.facebook.com/SignaShare/,"310,287"
Agastha,https://www.crunchbase.com/organization/agastha,http://www.agastha.com/,"E-Signature, Electronics, Health Care, Information Technology, Robotics, Software","Consumer Electronics, Hardware, Health Care, Information Technology, Privacy and Security, Science and Engineering, Software","It introduces - Practice Management, Electronic Medical Records, e-Sign, e-Prescriptions and Enhanced Workflow Software Solutions.","Founded in 2003, Their head office in Charlotte, North Carolina and they have expanded their operations to multiple locations. Their software products are value driven innovations for the healthcare industry. They have a passionate, talented team and place strong emphasis on customer service. They installed their first health information system in 2003 and since then, they have grown rapidly and have acquired a host of large groups and smaller practices as clients, all of which would be happy to provide references. In fact, their satisfied clients are one of their greatest assets.",,,,,"341,600"
ClientSide,https://www.crunchbase.com/organization/clientside,https://www.goclientside.com/,"Document Management, E-Signature, Internet, Legal, Legal Tech, Professional Services","Information Technology, Internet Services, Other, Privacy and Security, Professional Services, Software",ClientSide is an electronic signature for the professional services industry.,"ClientSide is an electronic signature for the professional services industry. The company's goal is to transform the future of the legal industry, ClientSide is located in the hub of the southeast, Atlanta, Georgia. ClientSide guides the Atlanta Legal Innovation and Technology Group, which delivers a group of entrepreneurs, lawyers, coders, thinkers, and technologists with a common passion for advancing the future of the professional services industry. ClientSide was founded on 2015.",https://www.linkedin.com/company/clientside-technologies/,,https://twitter.com/goclientside,,"375,842"
Scriptel,https://www.crunchbase.com/organization/scriptel,http://www.scriptel.com,"E-Signature, Information Technology, Mobile, Sensor, Software","Hardware, Information Technology, Mobile, Privacy and Security, Software",Innovative Digital Signature and Data Capture Solutions for Business,"Scriptel Corporation was founded in 1982 and is based in Columbus, Ohio. The company quickly became the industry leader in digitizer components and electronic signature capture. In the late 80’s, Scriptel launched the PenWriter, the first computer peripheral that provided high quality pen input on a device with its own LCD display. For the first time, this allowed users to see and use their own handwriting on their computers. Today, Scriptel Corporation is the leader in capacitive pen digitizing technology, a very durable and cost-effective way to electronically simulate pen and paper. The company holds many patents and has deployed its technology in over 3 million solutions used around the world, mostly in the demanding retail point-of-sale environment. Virtually everyone that used a credit card at major US retailers in the past decade has used a Scriptel pen many times. Beginning in 2010, Scriptel entered the digital workflow market with the ScripTouch ST1500, a dedicated electronic signature pad that provides high reliability with 3 year warranty, and has since launched a full line of ScripTouch signature pads that meet important market needs, backing these up with excellent service and software integration support.",https://www.linkedin.com/company/scriptel,,https://twitter.com/scriptelcorp,https://www.facebook.com/Scriptel-Corporation-144600898960991/,"462,483"
Clerical,https://www.crunchbase.com/organization/clerical,http://clerical.ai,"Apps, Consulting, Database, Document Management, E-Signature, Legal, Mobile Apps","Apps, Data and Analytics, Information Technology, Mobile, Privacy and Security, Professional Services, Software",Clerical is a legal resource database for finding and sharing clerk expert systems.,"Clerical Hub is a legal resource database for finding and sharing clerk expert systems. The company has several features like document assembly, electronic signature, document scanning, and live chat and chatbots. The company is based in Washington, DC and was founded in 2018.",https://www.linkedin.com/company/clerical/,,https://twitter.com/clericalai,https://www.facebook.com/clericalai,"521,834"
eSignature Consultants,https://www.crunchbase.com/organization/esignature-consultants,https://www.esignexperts.com,"Document Management, E-Signature, Software","Information Technology, Privacy and Security, Software","We help companies set up and maintain eSignature solutions like DocuSign, RightSignature, NitroPDF, Adobe Sign and more!","eSignature Consultants is a Chicago based firm that specializes in helping companies set up and manage eSignature platforms such as DocuSign, RightSignature, NitroPDF, Adobe Sign and more. There is a growing need for companies to quickly and efficiently get set up with eSignature capabilities. Here at eSignature Consultants we have designed streamlined processes to get you up and running quickly with all of the forms, templates, and envelopes necessary to start sending documents for eSignatures. Already have an account with DocuSign or another eSignature platform? Great! We can review your existing DocuSign templates, forms, and envelopes to improve upon your existing processes and maintain your account going forward.",https://www.linkedin.com/company/esignature-consultants,,,,"549,490"
Twignature,https://www.crunchbase.com/organization/twignature,https://twignature.com/,"Advertising, E-Signature, Information Technology, News, Publishing, Social Media, Software","Advertising, Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Privacy and Security, Sales and Marketing, Software",A media and e-signatures platform,"Twignature is privately funded and part of the successful lettrs company, an award winning services of messages that convert instantly to new media. The lettrs company is based in NYC with satellite offices in The Netherlands, New Delhi and San Francisco.",https://www.linkedin.com/company/27108680/,,https://twitter.com/twignatureapp,,"714,125"
